api_source,module_name,functional_cluster,api_order_in_module,api_name,signature,description,seen_in_examples,mapped_api_found,mapping_relation,associated_mapped_apis
driver,Error Handling,error_handling,1,cuGetErrorName,"CUresult cuGetErrorName ( CUresult error , const char** pStr )",Gets the string representation of an error code enum name.,no,,,
driver,Error Handling,error_handling,2,cuGetErrorString,"CUresult cuGetErrorString ( CUresult error , const char** pStr )",Gets the string description of an error code.,no,,,
driver,Initialization,runtime_or_driver_state,1,cuInit,CUresult cuInit ( unsigned int Flags ),"Initialize the CUDA driver API Initializes the driver API and must be called before any other function from the driver API in the current process. Currently, the Flags parameter must be 0. If cuInit() has not been called, any function from the driver API will return CUDA_ERROR_NOT_INITIALIZED.",no,,,
driver,Version Management,runtime_or_driver_state,1,cuDriverGetVersion,CUresult cuDriverGetVersion ( int* driverVersion ),Returns the latest CUDA version supported by driver.,no,,,
driver,Device Management,device_and_context,1,cuDeviceGet,"CUresult cuDeviceGet ( CUdevice * device , int ordinal )",Returns a handle to a compute device.,yes,no,none,
driver,Device Management,device_and_context,2,cuDeviceGetAttribute,"CUresult cuDeviceGetAttribute ( int* pi , CUdevice_attribute attrib , CUdevice dev )",Returns information about the device.,yes,yes,one_to_many,cudaDeviceGetAttribute;cudaGetDeviceProperties
driver,Device Management,device_and_context,3,cuDeviceGetCount,CUresult cuDeviceGetCount ( int* count ),Returns the number of compute-capable devices.,yes,no,none,
driver,Device Management,device_and_context,4,cuDeviceGetDefaultMemPool,"CUresult cuDeviceGetDefaultMemPool ( CUmemoryPool * pool_out , CUdevice dev )",Returns the default mempool of a device.,yes,yes,one_to_one,cudaDeviceGetDefaultMemPool
driver,Device Management,device_and_context,5,cuDeviceGetExecAffinitySupport,"CUresult cuDeviceGetExecAffinitySupport ( int* pi , CUexecAffinityType type , CUdevice dev )",Returns information about the execution affinity support of the device.,no,,,
driver,Device Management,device_and_context,6,cuDeviceGetLuid,"CUresult cuDeviceGetLuid ( char* luid , unsigned int* deviceNodeMask , CUdevice dev )",Return an LUID and device node mask for the device.,yes,no,none,
driver,Device Management,device_and_context,7,cuDeviceGetMemPool,"CUresult cuDeviceGetMemPool ( CUmemoryPool * pool , CUdevice dev )",Gets the current mempool for a device.,yes,yes,one_to_one,cudaDeviceGetMemPool
driver,Device Management,device_and_context,8,cuDeviceGetName,"CUresult cuDeviceGetName ( char* name , int len , CUdevice dev )",Returns an identifier string for the device.,yes,no,none,
