api_source,module_name,functional_cluster,api_order_in_module,api_name,signature,description,seen_in_examples,mapped_api_found,mapping_relation,associated_mapped_apis
runtime,Device Management,device_and_context,1,cudaChooseDevice,"__host__ ​ cudaError_t cudaChooseDevice ( int* device , const cudaDeviceProp * prop )",Select compute-device which best matches criteria.,yes,no,none,
runtime,Device Management,device_and_context,2,cudaDeviceFlushGPUDirectRDMAWrites,"__host__ ​ cudaError_t cudaDeviceFlushGPUDirectRDMAWrites ( cudaFlushGPUDirectRDMAWritesTarget target , cudaFlushGPUDirectRDMAWritesScope scope )",Blocks until remote writes are visible to the specified scope.,yes,yes,one_to_one,cuFlushGPUDirectRDMAWrites
runtime,Device Management,device_and_context,3,cudaDeviceGetAttribute,"__host__ ​ __device__ ​ cudaError_t cudaDeviceGetAttribute ( int* value , cudaDeviceAttr attr , int device )",Returns information about the device.,yes,yes,one_to_one,cuDeviceGetAttribute
runtime,Device Management,device_and_context,4,cudaDeviceGetByPCIBusId,"__host__ ​ cudaError_t cudaDeviceGetByPCIBusId ( int* device , const char* pciBusId )",Returns a handle to a compute device.,yes,yes,one_to_one,cuDeviceGetByPCIBusId
runtime,Device Management,device_and_context,5,cudaDeviceGetCacheConfig,__host__ ​ __device__ ​ cudaError_t cudaDeviceGetCacheConfig ( cudaFuncCache * pCacheConfig ),Returns the preferred cache configuration for the current device.,yes,yes,one_to_many,cuCtxGetApiVersion;cuCtxGetCacheConfig;cuCtxGetCurrent;cuCtxSetCurrent
runtime,Device Management,device_and_context,6,cudaDeviceGetDefaultMemPool,"__host__ ​ cudaError_t cudaDeviceGetDefaultMemPool ( cudaMemPool_t * memPool , int device )",Returns the default mempool of a device.,yes,yes,one_to_one,cuDeviceGetDefaultMemPool
runtime,Device Management,device_and_context,7,cudaDeviceGetLimit,"__host__ ​ __device__ ​ cudaError_t cudaDeviceGetLimit ( size_t* pValue , cudaLimit limit )",Return resource limits.,yes,yes,one_to_one,cuCtxGetLimit
runtime,Device Management,device_and_context,8,cudaDeviceGetMemPool,"__host__ ​ cudaError_t cudaDeviceGetMemPool ( cudaMemPool_t * memPool , int device )",Gets the current mempool for a device.,yes,yes,one_to_one,cuDeviceGetMemPool
runtime,Device Management,device_and_context,9,cudaDeviceGetNvSciSyncAttributes,"__host__ ​ cudaError_t cudaDeviceGetNvSciSyncAttributes ( void* nvSciSyncAttrList , int device , int flags )",Return NvSciSync attributes that this device can support.,no,,,
runtime,Device Management,device_and_context,10,cudaDeviceGetP2PAttribute,"__host__ ​ cudaError_t cudaDeviceGetP2PAttribute ( int* value , cudaDeviceP2PAttr attr , int srcDevice , int dstDevice )",Queries attributes of the link between two devices.,no,,,
runtime,Device Management,device_and_context,11,cudaDeviceGetPCIBusId,"__host__ ​ cudaError_t cudaDeviceGetPCIBusId ( char* pciBusId , int len , int device )",Returns a PCI Bus Id string for the device.,yes,yes,one_to_one,cuDeviceGetPCIBusId
